number_id,verdict,producer_path,registering_call,t8_coverage,search_evidence,notes
bala15_xsec_residual,ORPHAN_SCRIPT,,,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 3 other script, 8 non-script",resolves into script(s) that do not write dim_headline_number: scripts/11_database/test_T8_headline_reproduction.py; scripts/12_zone_stratum/regen_RPTSCOPE_claim_audit.py; scripts/13_pack/PACK1_build_workbook.py
bala29ca_floor_gap_periodwise,PRODUCED,scripts/11_database/build_T10_gateD_register.py; scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T10_gateD_register.py:178,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 2 registrar, 0 other script, 5 non-script","pinned_value is NULL - deliberately unpinned, reason recorded in the registry"
bala29ca_floor_gap_periodwise_jja_son,PRODUCED,scripts/11_database/build_T10_gateD_register.py; scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T10_gateD_register.py:179,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 2 registrar, 0 other script, 3 non-script","pinned_value is NULL - deliberately unpinned, reason recorded in the registry"
bala29ca_improvement_surviving_water_pct,ORPHAN_SCRIPT,,,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 0 registrar, 3 other script, 7 non-script",resolves into script(s) that do not write dim_headline_number: scripts/11_database/test_T8_headline_reproduction.py; scripts/12_zone_stratum/regen_RPTSCOPE_claim_audit.py; scripts/13_pack/PACK1_build_workbook.py
bala29ca_mean_flood_freq,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py; scripts/11_database/write_RPTSCOPE_E_canaries.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:150,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 2 registrar, 1 other script, 6 non-script",
bala29ca_median_cover,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:144,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 1 non-script",
bala29ca_ref_plot_share_pct,PRODUCED,scripts/11_database/build_T8_gateB_dim_headline_number.py,scripts/11_database/build_T8_gateB_dim_headline_number.py:99,covered-passing,"id-match over 341 tracked scripts / 832 tracked text files; match kind: literal; 1 registrar, 1 other script, 3 non-script",
cap_inland_floor_wetness_fifth_1,PRODUCED,scripts/11_database/PACKv13_T0_register.py,scripts/11_database/PACKv13_T0_register.py:62,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 1 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
cap_inland_floor_wetness_fifth_2,PRODUCED,scripts/11_database/PACKv13_T0_register.py,scripts/11_database/PACKv13_T0_register.py:62,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 0 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
cap_inland_floor_wetness_fifth_3,PRODUCED,scripts/11_database/PACKv13_T0_register.py,scripts/11_database/PACKv13_T0_register.py:62,uncovered,"id-match over 341 tracked scripts / 832 tracked text files; match kind: template; 1 registrar, 0 other script, 0 non-script",T8 iterates this row but has no derivation path for it (recomputed = NOT RECOMPUTED)
