number_id,quantity,pinned_value,spread_min,spread_max,support_level,scope_filter,pixel_constant,denominator,period_label,source_object,derivation_route,independent,blocked
ref_grazed_gap_annual_3pdk_mean,"annual reference-grazed cover-floor gap, 3 conserved paddocks excluding Bala 29ca, mean over 35 water years",-2.073,-7.038,4.987,zone,"3 No-grazing paddocks (fids 1,2,3) vs median of 60 14-day; treed_context_flag = 0 AND regime_band <> 'context'",,35 water years,1988-2022,fact_zone_veg_annual.veg_p05_spatial,"INDEPENDENT: mean of the separately-built T10_annual_gap_series.csv B_excl29ca series (-2.073) vs recomputed from the DB (-2.073) - different artefact, different producer, different date; could have disagreed if either drifted",Y,
ref_set_internal_spread_riverine_high,"internal spread of cover floor among the conserved paddocks, Riverine high band",36.5,,,zone_stratum,"Bala group, grazing_excluded=1, treed_context_flag = 0 AND regime_band <> 'context', community=Riverine, regime_band=high",,3 conserved paddocks in stratum,1988-2023 census,v_zone_stratum_contrast_bala_robust (veg_p05_mean),n/a - blocked before derivation,n/a,"BLOCKED - spec §6. v_zone_stratum_contrast_bala_robust is built on census_by_zone_stratum.veg_p05_mean, the census TEMPORAL p05, not veg_p05_spatial. Reaching for veg_p05_mean for a reference-state purpose is a STOP, not a judgement call."
ref_set_internal_spread_riverine_low,"internal spread of cover floor among the conserved paddocks, Riverine low band",19.2,,,zone_stratum,"Bala group, grazing_excluded=1, treed_context_flag = 0 AND regime_band <> 'context', community=Riverine, regime_band=low",,3 conserved paddocks in stratum,1988-2023 census,v_zone_stratum_contrast_bala_robust (veg_p05_mean),n/a - blocked before derivation,n/a,"BLOCKED - spec §6. v_zone_stratum_contrast_bala_robust is built on census_by_zone_stratum.veg_p05_mean, the census TEMPORAL p05, not veg_p05_spatial. Reaching for veg_p05_mean for a reference-state purpose is a STOP, not a judgement call."
ref_set_internal_spread_riverine_mid,"internal spread of cover floor among the conserved paddocks, Riverine mid band",28.2,,,zone_stratum,"Bala group, grazing_excluded=1, treed_context_flag = 0 AND regime_band <> 'context', community=Riverine, regime_band=mid",,3 conserved paddocks in stratum,1988-2023 census,v_zone_stratum_contrast_bala_robust (veg_p05_mean),n/a - blocked before derivation,n/a,"BLOCKED - spec §6. v_zone_stratum_contrast_bala_robust is built on census_by_zone_stratum.veg_p05_mean, the census TEMPORAL p05, not veg_p05_spatial. Reaching for veg_p05_mean for a reference-state purpose is a STOP, not a judgement call."
ref_set_spread_exceeds_contrast_multi_count,"strata where the internal spread among conserved paddocks exceeds the conserved-grazed difference, restricted to strata with >1 conserved paddock",6,,7,zone_stratum,"Bala group, n_ungrazed_bala > 1, treed_context_flag = 0 AND regime_band <> 'context'",,7 strata with >1 conserved paddock,1988-2023 census,v_zone_stratum_contrast_bala_robust (veg_p05_mean),n/a - blocked before derivation,n/a,"BLOCKED - spec §6. v_zone_stratum_contrast_bala_robust is built on census_by_zone_stratum.veg_p05_mean, the census TEMPORAL p05, not veg_p05_spatial. Reaching for veg_p05_mean for a reference-state purpose is a STOP, not a judgement call."
t13_recovering_survive_drop2wettest,recovering parts that remain Recovering when the two wettest water years are dropped,5,,,pixel,"115 supported parts, >=25 yr, n_pixels_valid>=30; drop WY2022 and WY2016",0.062351428,8 parts meeting the recovering criterion,1988-2022,fact_zone_community_part_classification,"NONE - the drop-two states are stored, and recomputing them re-runs the T13 Gate C chain, which is the same operation sequence that produced them. Declared rather than manufactured.",N,
bala29ca_improvement_surviving_water_pct,share of Bala 29ca's cover-floor improvement that survives removing its own water response,81.6,,,zone,"zone_fid 4, treed_context_flag = 0 AND regime_band <> 'context'",,raw floor trend +0.6821 pp/yr,1988-2022,Output/tables/T10_gateC_temporal_table.csv,"INDEPENDENT: OLS recomputed from fact_zone_veg_annual - raw 0.6821, water-adjusted 0.5563, ratio 81.6% vs stored 81.6%. Different source object and own arithmetic.",Y,
ref_paddock_flood_rank_bala26ca,Bala 26ca rank by mean annual flood frequency among 64 paddocks (1 = wettest),3,,,zone,"64 management zones, treed_context_flag = 0 AND regime_band <> 'context'",,64 paddocks ranked by mean flood frequency,1988-2022,v_zone_floor_flood_residual.mean_flood,"INDEPENDENT: rank recomputed from fact_zone_veg_annual by mean-of-years per paddock -> rank 3 (view rank 3); different aggregation route, could have disagreed",Y,
ref_paddock_flood_rank_bala28ca,Bala 28ca rank by mean annual flood frequency among 64 paddocks (1 = wettest),6,,,zone,"64 management zones, treed_context_flag = 0 AND regime_band <> 'context'",,64 paddocks ranked by mean flood frequency,1988-2022,v_zone_floor_flood_residual.mean_flood,"INDEPENDENT: rank recomputed from fact_zone_veg_annual by mean-of-years per paddock -> rank 6 (view rank 6); different aggregation route, could have disagreed",Y,
ref_paddock_flood_rank_bala27ca,Bala 27ca rank by mean annual flood frequency among 64 paddocks (1 = wettest),31,,,zone,"64 management zones, treed_context_flag = 0 AND regime_band <> 'context'",,64 paddocks ranked by mean flood frequency,1988-2022,v_zone_floor_flood_residual.mean_flood,"INDEPENDENT: rank recomputed from fact_zone_veg_annual by mean-of-years per paddock -> rank 31 (view rank 31); different aggregation route, could have disagreed",Y,
