claim_id,claim_text,state,number_id,source_object,query,computed_value,stated_value,agrees,pack_item_carrying_it,note,agrees_at_stated_precision
REG-C1a,the difference shows no trend in either direction (+0.06 pp/yr),PINNED,t10_gap_annual_slope_B_excl29ca,dim_headline_number,SELECT pinned_value FROM dim_headline_number WHERE number_id='t10_gap_annual_slope_B_excl29ca',0.057,0.06,1,F3,reproduces in the status table,1
REG-C1b,r = 0.22 on that trend,PINNED,t10_gap_annual_r_B_excl29ca,dim_headline_number,SELECT pinned_value FROM dim_headline_number WHERE number_id='t10_gap_annual_r_B_excl29ca',0.222,0.22,1,F3,,1
REG-C3,water explains about half the variation between paddocks (r^2 from r=0.71),PINNED,floor_flood_r_64pdk,dim_headline_number,SELECT pinned_value FROM dim_headline_number WHERE number_id='floor_flood_r_64pdk',0.504,~0.50,,"F5, M5b",P3-7 DERIVATION NOTED: the claim quotes r-squared ~0.504; the pin floor_flood_r_64pdk holds r = 0.71. The arithmetic is right (0.71 squared = 0.5041) but a reader looking up 0.504 will not find it. State the derivation wherever this claim appears. r^2 = 0.504; 'about half' is fair,1
REG-C6a,eight parts meet the recovering criterion,PINNED,t13_parts_recovering_count,dim_headline_number,SELECT pinned_value FROM dim_headline_number WHERE number_id='t13_parts_recovering_count',8.0,8,1,"M4, T2",,1
REG-C6b,five survive dropping the two wettest years,PINNED,t13_recovering_survive_drop2wettest,fact_zone_community_part_classification,SELECT COUNT(*) FROM fact_zone_community_part_classification WHERE state_registered='Recovering' AND state_drop2wettest='Recovering',5,5,1,"M4, T2","REGENERATED P3-6: pinned at R2 (3 Aug); this row read SOURCED when the audit was written at R1b. State re-derived by live lookup against dim_headline_number, not edited. NOT pinned - candidate for R2",1
REG-C6c,"the strongest improver on the property is a grazed paddock (Bala 15, residual rank 1)",PINNED,bala15_xsec_residual,v_zone_floor_flood_residual,"SELECT zone_name,residual,rank FROM v_zone_floor_flood_residual WHERE rank<=3",1,1,1,"F5, M5b","REGENERATED P3-6: pinned at R2 (3 Aug); this row read SOURCED when the audit was written at R1b. State re-derived by live lookup against dim_headline_number, not edited. Bala 15 residual -17.62",1
REG-C7,12 of 16 declining parts are in the Bala group,SOURCED,,fact_zone_community_part_classification,SELECT COUNT(*) ... WHERE state_registered='Declining' AND zone_name LIKE 'Bala%',12,12,1,M4,denominator computed 16; NOT pinned - candidate for R2,1
BYQ-Q2a,the spread among the conserved paddocks is larger than the conserved-grazed difference in six of nine strata,SOURCED,,v_zone_stratum_contrast_bala_robust,SELECT ... ; count where (ungrazed_p05_max-ungrazed_p05_min) > abs(veg_p05_delta_bala_pxwtd),6,6,1,F6,"reproduces exactly; NOT in dim_headline_number. CORRECTION 3 Aug: an earlier note said F6's caption re-verifies this. It does NOT - F6 draws a DIFFERENT 6 of 9, from v_three_arm_gap_decomposition on veg_p05_spatial (pins three_arm_unzoned_inferred_above_14day_count=6 / _plot_=8). This one is from v_zone_stratum_contrast_bala_robust on veg_p05_mean. Two objects, two metrics, same numeral - see I-37.",1
BYQ-Q2b,restricted to strata with more than one conserved paddock,SOURCED,,v_zone_stratum_contrast_bala_robust,"same, filtered n_ungrazed_bala > 1",6 of 7,6 of 7,,F6,TRUER STATEMENT - the two n=1 strata have spread 0.0 by construction,
BYQ-Q2c,the conserved paddocks track the grazed median within 1.5 to 3.3 percentage points,UNSUPPORTED,,none,no producer; range exists only inside the caveat of ref_grazed_floor_gap_3pdk_periodwise,,1.5 to 3.3 pp,,"F1, F2, T1, M2",PIN 3 is permanently unpinned; spec P4 forbids this wording. Live in the By_question sheet.,
REG-C2a,Bala 29ca's improvement predates conservation management by thirty years (monotonic convergence from 1988; management changed 2019),SOURCED,,Output/tables/T10_annual_gap_series.csv + t10_gap_annual_slope_C_29ca,SELECT pinned_value ... 't10_gap_annual_slope_C_29ca'; series C_29ca runs 1988-2022,0.919,+0.919 pp/yr from 1988,,F3,"the SLOPE is pinned and reproduces; 'predates by thirty years' is an INTERPRETATION of the series start, not a computed quantity",
REG-C2b,Bala 29ca produces every reference-state result the project has,DERIVED,,"multiple (T10 gap decomposition, T13 part states, v_zone_floor_flood_residual)",no single query; asserted across T10/T13 outputs,,(qualitative),,"F3, M4, T1",TRUE but not reducible to one number; rests on C1 (no trend without 29ca) plus 29ca's rank-2 residual,
REG-C4a,82% of Bala 29ca's improvement survives removing the effect of the water it actually received,PINNED,bala29ca_improvement_surviving_water_pct,Output/tables/T10_gateC_temporal_table.csv,water_adjusted_floor_trend / raw_floor_trend for Bala 29ca,81.6,82,0,"F5, M4","REGENERATED P3-6: pinned at R2 (3 Aug); this row read SOURCED when the audit was written at R1b. State re-derived by live lookup against dim_headline_number, not edited. 0.5563 / 0.6821; NOT pinned - candidate for R2",1
BYQ-Q3a,its poorest patches carry 17 percentage points less cover than its dryness predicts - the second largest shortfall on the property,SOURCED,,v_zone_floor_flood_residual,"SELECT residual, rank FROM v_zone_floor_flood_residual WHERE zone_name='Bala 29ca'",16.8,17,0,"F5, M5b",rank 2 of 64 confirms 'second largest'; |residual| 16.80 rounds to 17,1
REG-C4b,"the improvement is located in its dry western parts, not the paddock as a whole",SOURCED,,fact_zone_community_part_classification,"SELECT community, state_registered, trend_z ... WHERE zone_name='Bala 29ca'",Aeolian+Riverine Recovering; Inland not,(qualitative),,"M4, T1",Aeolian trend_z 1.989; Inland is Declining and NOT asserted,
REG-C5,three of four conserved paddocks sit almost entirely in the property's easiest country; only Bala 29ca spans the range,PINNED,"ref_paddock_flood_rank_bala26ca,ref_paddock_flood_rank_bala27ca,ref_paddock_flood_rank_bala28ca,ref_paddock_flood_rank_bala29ca",v_zone_floor_flood_residual,RANK() OVER (ORDER BY mean_flood DESC) over 64 paddocks,"26ca r3, 27ca r31, 28ca r6, 29ca r61",3 of 4 wettest half,,"F1, F2, M2","REGENERATED P3-6: pinned at R2 (3 Aug); this row read SOURCED when the audit was written at R1b. State re-derived by live lookup against dim_headline_number, not edited. 3 of 3 in the wettest half; 29ca rank 61 of 64 - the driest end",
BYQ-Q1,"cropping history is not recorded anywhere; five reserved columns, all empty for all 64 paddocks",PINNED,cropping_history_null_count,dim_management_zone,SELECT COUNT(*) FROM dim_management_zone WHERE cropping_history IS NULL,64 of 64 NULL,64 of 64 empty,,"M1, F1, T1","REGENERATED P3-6: pinned at R2 (3 Aug); this row read SOURCED when the audit was written at R1b. State re-derived by live lookup against dim_headline_number, not edited. T12 confirmed DEA cannot fill it; the 'five reserved columns' count is not separately verified here",
BYQ-Q4,the standard-grazing land sits at or above the rotationally grazed land in six of nine comparisons,PINNED,three_arm_standard_at_or_above_count,v_three_arm_gap_decomposition,count strata where unzoned_inferred_standard floor_deficit_pp >= 0 (i.e. at or above 14-day),6 of 9,6 of 9,,"F6, M2","REGENERATED P3-6: pinned at R2 (3 Aug); this row read SOURCED when the audit was written at R1b. State re-derived by live lookup against dim_headline_number, not edited. third arm is the 15 UNZONED Standard-grazing plots - see the R1b exclusion note",
BYQ-Q5,how often a paddock floods explains about half the variation in cover,PINNED,floor_flood_r_64pdk,dim_headline_number,same as REG-C3; r^2 = 0.504,0.504,~0.50,,"M3, M5, F5",P3-7 DERIVATION NOTED: the claim quotes r-squared ~0.504; the pin floor_flood_r_64pdk holds r = 0.71. The arithmetic is right (0.71 squared = 0.5041) but a reader looking up 0.504 will not find it. State the derivation wherever this claim appears. DUPLICATE of REG-C3 - one quantity stated in two places,1
BYQ-Q6,"between three and fifteen parts are improving depending on how strictly the line is drawn, and it is the same parts throughout",SOURCED,"t13_parts_recovering_count (SPREAD, not pinned_value)",dim_headline_number,"SELECT spread_min, spread_max FROM dim_headline_number WHERE number_id='t13_parts_recovering_count'",3 to 15,3 to 15,,"M4, F7, T2","P3-7 MIS-MAPPING FIXED: this row was PINNED to t13_parts_recovering_count, whose pinned_value is 8 - but the claim reads 'between three and fifteen parts are improving'. The pin does not state the claim. The claim is the SWEEP RANGE, spread_min 3 to spread_max 15 on that row, which is a spread and not a pinned value - so the claim is SOURCED, not PINNED. the sweep spread; nesting verified at T13 Gate C",
BYQ-Q7a,"four water years since management changed, two containing the largest natural floods in the record",N/A_by_design,,fact_zone_veg_annual / register v3 §1 closing note,register v3 states mean inundation 43.6% post vs 22.8% across the preceding 31 years,,4 years; 2 largest,,(none - caveat text),"N/A_by_design: the CLAIM (did management change the water regime) is untestable with four post-management years. The supporting 43.6% / 22.8% pair DOES reproduce exactly - pixel-weighted SUM(wet_pixels)/SUM(valid_pixels) over fact_zone_veg_annual, split at 2019, n=4 and n=31. Mean-of-paddock-means gives 46.0/25.2 - the aggregation_order qualifier is what separates them. The cell's number is sound and stays.",
BYQ-Q7b,the 2018 bank cuts were tested with a flow law fitted on 24 placebo dates,N/A_by_design,,Task J outputs,Task J placebo ladder; 24 placebo dates,,24 placebo dates,,(none - caveat text),"N/A_by_design: Task J is analytically complete but blocked on Jana (cut-date provenance L07, bank geometry L10). Not a provenance failure - a stated external blocker.",
