ruling_id,first_seen_date,first_seen_kind,first_seen_where,classification,provoking_task,evidence
A,2026-08-03,REPORT,docs/change_reports/RPTSCOPE_R2_write.md,REACTIVE,RPT-SCOPE,"898a2e04 RPT-SCOPE R2 WRITE: 10 pins registered, dim_headline_number 88 -> 98, table_asse"
B,2026-08-03,REPORT,docs/change_reports/RPTSCOPE_R2_write.md,REACTIVE,RPT-SCOPE,"898a2e04 RPT-SCOPE R2 WRITE: 10 pins registered, dim_headline_number 88 -> 98, table_asse"
C,2026-08-03,REPORT,docs/change_reports/RPTSCOPE_R2_write.md,REACTIVE,RPT-SCOPE,"898a2e04 RPT-SCOPE R2 WRITE: 10 pins registered, dim_headline_number 88 -> 98, table_asse"
D,2026-08-03,REPORT,scripts/12_zone_stratum/build_RPTSCOPE_R2_pinlist.py,REACTIVE,RPT-SCOPE,"c9dd748d RPT-SCOPE R2: final pin list built (14 rows); 4 hit the spec section 6 STOP, wri"
E,2026-08-03,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"6aa345b9 Ruling E + PACK-1 P1: contract parameterised (zero unpinned), 2 canaries registe"
F,2026-08-03,COMMIT_SUBJECT,(commit subject only),REACTIVE,P2,"5d74610a P2 applied; Rulings F, G, H done. Part 2 (P3) awaited."
G,2026-08-03,COMMIT_SUBJECT,(commit subject only),REACTIVE,P2,"5d74610a P2 applied; Rulings F, G, H done. Part 2 (P3) awaited."
H,2026-08-03,COMMIT_SUBJECT,(commit subject only),REACTIVE,P2,"5d74610a P2 applied; Rulings F, G, H done. Part 2 (P3) awaited."
I,2026-08-03,COMMIT_SUBJECT,(commit subject only),REACTIVE,,61f968f3 Rulings I and J logged and prepared for P3 row assembly; no DB writes
J,2026-08-03,COMMIT_SUBJECT,(commit subject only),REACTIVE,,61f968f3 Rulings I and J logged and prepared for P3 row assembly; no DB writes
K,2026-08-03,REPORT,docs/change_reports/PACK1_P3_captions.md,REACTIVE,P3,"e0bac3f8 P3: caption audit, claim audit regenerated live (6->11 PINNED), two mis-mappings"
L,2026-08-03,REPORT,docs/change_reports/PACK1_restore_and_reassemble.md,REACTIVE,PACK1,faf377f1 Restore item list from 6aa345b and re-assemble the pack with a REWRITTEN produce
N,2026-08-03,REPORT,scripts/13_pack/PACK1_build_workbook.py,REACTIVE,P4,"add2088c P4: the pack built. T3 page, 00_START_HERE, workbook with five sheets, final num"
P,2026-08-03,REPORT,docs/change_reports/PACK1_P4_build_and_readthrough.md,REACTIVE,P4,"551e7144 P4 read-through RT-1/RT-2/RT-4: the number check now reads the prose, not the ci"
R,2026-08-03,REPORT,docs/change_reports/PACK1_P4_build_and_readthrough.md,REACTIVE,P4,"551e7144 P4 read-through RT-1/RT-2/RT-4: the number check now reads the prose, not the ci"
T,2026-08-04,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"7342b7fe Rulings T, U, V: pack re-sealed as v1.1, v1 kept and marked, determinism made a "
U,2026-08-04,COMMIT_SUBJECT,(commit subject only),REACTIVE,,2a6a0e8d Issues log: I-48 to I-51 recorded; Ruling U-b divergence written down rather tha
V,2026-08-04,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"7342b7fe Rulings T, U, V: pack re-sealed as v1.1, v1 kept and marked, determinism made a "
W,2026-08-04,COMMIT_SUBJECT,(commit subject only),REACTIVE,LID-1,"a3dfb692 LID-1 Rulings W-AB applied; Gate L2 classifies 55 artefacts. No DB write, probe "
X,2026-08-04,REPORT,docs/change_reports/LID1_rulings_W_to_AB_and_gateL2.md,REACTIVE,LID-1,"a3dfb692 LID-1 Rulings W-AB applied; Gate L2 classifies 55 artefacts. No DB write, probe "
Y,2026-08-04,REPORT,docs/change_reports/LID1_rulings_W_to_AB_and_gateL2.md,REACTIVE,LID-1,"a3dfb692 LID-1 Rulings W-AB applied; Gate L2 classifies 55 artefacts. No DB write, probe "
Z,2026-08-04,REPORT,docs/change_reports/LID1_rulings_W_to_AB_and_gateL2.md,REACTIVE,LID-1,"a3dfb692 LID-1 Rulings W-AB applied; Gate L2 classifies 55 artefacts. No DB write, probe "
AA,2026-08-04,REPORT,docs/change_reports/LID1_rulings_W_to_AB_and_gateL2.md,REACTIVE,LID-1,"a3dfb692 LID-1 Rulings W-AB applied; Gate L2 classifies 55 artefacts. No DB write, probe "
AB,2026-08-04,REPORT,docs/change_reports/LID1_rulings_W_to_AB_and_gateL2.md,REACTIVE,LID-1,"a3dfb692 LID-1 Rulings W-AB applied; Gate L2 classifies 55 artefacts. No DB write, probe "
AC,2026-08-04,COMMIT_SUBJECT,(commit subject only),REACTIVE,LID-1,"28b3bae9 LID-1 Ruling AC recorded; Gates L3 and L4 recommended. Report only, no DB write"
AD,2026-08-04,REPORT,docs/change_reports/LID1_gateL3_L4_recommendations.md,REACTIVE,LID-1,"28b3bae9 LID-1 Ruling AC recorded; Gates L3 and L4 recommended. Report only, no DB write"
AE,2026-08-04,REPORT,docs/change_reports/LID1_gateL3_L4_recommendations.md,REACTIVE,LID-1,"28b3bae9 LID-1 Ruling AC recorded; Gates L3 and L4 recommended. Report only, no DB write"
AF,2026-08-04,REPORT,docs/change_reports/LID1_gateL3_L4_recommendations.md,REACTIVE,LID-1,"28b3bae9 LID-1 Ruling AC recorded; Gates L3 and L4 recommended. Report only, no DB write"
AG,2026-08-04,COMMIT_SUBJECT,(commit subject only),REACTIVE,LID-1,"59ac513c LID-1 Rulings AG-AJ: 14 semantics rows corrected, bb8 clause, L3-0 added, deferr"
AH,2026-08-04,REPORT,docs/LiDAR/Gayini_LiDAR_TaskU_summary.md,REACTIVE,LID-1,"59ac513c LID-1 Rulings AG-AJ: 14 semantics rows corrected, bb8 clause, L3-0 added, deferr"
AI,2026-08-04,REPORT,docs/change_reports/LID1_gateL3_L4_recommendations.md,REACTIVE,LID-1,"59ac513c LID-1 Rulings AG-AJ: 14 semantics rows corrected, bb8 clause, L3-0 added, deferr"
AJ,2026-08-04,REPORT,docs/change_reports/LID1_gateL3_L4_recommendations.md,REACTIVE,LID-1,"59ac513c LID-1 Rulings AG-AJ: 14 semantics rows corrected, bb8 clause, L3-0 added, deferr"
AK,2026-08-04,COMMIT_SUBJECT,(commit subject only),REACTIVE,,2088fad1 Ruling AK: log I-47 - a check must not match the record of a correction as thoug
AL,2026-08-05,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"e65a0dd6 Ruling AL recorded: the four figure cuts are declined, the caption collapse is u"
AO,2026-08-06,COMMIT_SUBJECT,(commit subject only),REACTIVE,SCHEM-1,b23973a0 SCHEM-1 registered under Rulings AO and AP; the valid-stack wording corrected
AP,2026-08-06,COMMIT_SUBJECT,(commit subject only),REACTIVE,SCHEM-1,b23973a0 SCHEM-1 registered under Rulings AO and AP; the valid-stack wording corrected
AQ,2026-08-06,COMMIT_SUBJECT,(commit subject only),REACTIVE,PARTREG,531499cb PARTREG pack sealed; the two dictionary notes resolved rather than hedged; Rulin
AR,2026-08-06,COMMIT_SUBJECT,(commit subject only),REACTIVE,,97fc4293 Ruling AR recorded as an armed trap; the two reconciliations moved into the find
AS,2026-08-07,REPORT,R/gayini_fit.R,REACTIVE,WITHIN-1,2a9883b5 WITHIN-1: 17 of 17 design-seat figures reproduce in R; the three that halted wer
AT,2026-08-07,SPEC,docs/reference_update/Gayini_CC_spec_DIAG1_v2.md,PRE_REGISTERED,DIAG-1,28a601cb DIAG-1 spec v1 and v2 committed before the work starts
AW,2026-08-07,REPORT,R/gayini_fit.R,REACTIVE,gayini_fit,"cc2ba6d2 Pack v1.3 T2-T5: figures rebuilt from the register, geodata staged, pack assembl"
AX,2026-08-07,REPORT,Output/audit/XCHECK1_findings.md,REACTIVE,XCHECK-1,"3ab6c09e XCHECK-1: the third Ruling AY instance is Figure 25, and two conserved reports c"
AY,2026-08-07,COMMIT_SUBJECT,(commit subject only),REACTIVE,XCHECK-1,"3ab6c09e XCHECK-1: the third Ruling AY instance is Figure 25, and two conserved reports c"
AZ,2026-08-07,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"98f2bcce Ruling AZ: Figure 25's x-axis corrected, figure re-rendered and re-registered"
BB,2026-08-07,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"46adc343 Rulings BB and BC: the assumptions record becomes citable, and the quartile-SD s"
BC,2026-08-07,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"46adc343 Rulings BB and BC: the assumptions record becomes citable, and the quartile-SD s"
BE,2026-08-08,REPORT,Output/diag/BE_dashboard_scope_check.csv,REACTIVE,EXEMPLAR-1,"0a27946d EXEMPLAR-1: nine client exemplars on one support, and BE clears the fourth AY/AZ"
BL,2026-08-08,REPORT,R/gayini_dashboard_compose.R,REACTIVE,gayini_dashboard_compose,"a52b6e02 Ruling BM comment blocks from a concurrent session - comment-only, no behaviour "
BM,2026-08-08,REPORT,Output/diag/EXEMPLAR1_report.md,REACTIVE,EXEMPLAR-1,"0a27946d EXEMPLAR-1: nine client exemplars on one support, and BE clears the fourth AY/AZ"
BT,2026-08-08,REPORT,docs/reference_update/Gayini_CC_spec_EXEMPLAR1.md,REACTIVE,EXEMPLAR-1,"0a27946d EXEMPLAR-1: nine client exemplars on one support, and BE clears the fourth AY/AZ"
BV,,UNRESOLVED,,UNRESOLVED,,no dated evidence in the tracked corpus
BW,2026-08-08,REPORT,Output/diag/EXEMPLAR1_report.md,REACTIVE,EXEMPLAR-1,"0a27946d EXEMPLAR-1: nine client exemplars on one support, and BE clears the fourth AY/AZ"
BX,2026-08-08,REPORT,Output/diag/EXEMPLAR1_report.md,REACTIVE,EXEMPLAR-1,"0a27946d EXEMPLAR-1: nine client exemplars on one support, and BE clears the fourth AY/AZ"
BY,2026-08-08,REPORT,Output/diag/EXEMPLAR1_report.md,REACTIVE,EXEMPLAR-1,"0a27946d EXEMPLAR-1: nine client exemplars on one support, and BE clears the fourth AY/AZ"
BZ,2026-08-08,REPORT,Output/diag/EXEMPLAR1_report.md,REACTIVE,EXEMPLAR-1,"0a27946d EXEMPLAR-1: nine client exemplars on one support, and BE clears the fourth AY/AZ"
CE,2026-08-08,REPORT,Output/diag/EXEMPLAR1_report.md,REACTIVE,EXEMPLAR1,"34da02f0 Rulings CL and CM: the nine exemplars re-rendered, and the selection table becom"
CG,2026-08-08,REPORT,Output/temporal/TEMPORAL1_report.md,REACTIVE,TEMPORAL-1,"9aa58f48 TEMPORAL-1 completion: assembled from what existed, and the design-seat endpoint"
CL,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"34da02f0 Rulings CL and CM: the nine exemplars re-rendered, and the selection table becom"
CM,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"34da02f0 Rulings CL and CM: the nine exemplars re-rendered, and the selection table becom"
CP,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"a4044a87 Rulings CP, CQ and CR: one scale idiom, the colour check made shared, and the fi"
CQ,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"a4044a87 Rulings CP, CQ and CR: one scale idiom, the colour check made shared, and the fi"
CR,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"a4044a87 Rulings CP, CQ and CR: one scale idiom, the colour check made shared, and the fi"
CS,2026-08-08,REPORT,Output/temporal/TEMPORAL1_report.md,REACTIVE,TEMPORAL-1,"9aa58f48 TEMPORAL-1 completion: assembled from what existed, and the design-seat endpoint"
CT,2026-08-08,REPORT,Output/temporal/TEMPORAL1_community_by_floodbin.csv,REACTIVE,TEMPORAL-1,"9aa58f48 TEMPORAL-1 completion: assembled from what existed, and the design-seat endpoint"
CU,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"3091925b Ruling CU: track the DATA-1 share README in its current state, before BR rewrite"
CV,2026-08-08,GOVERNANCE,docs/Gayini_issues_log.md,GOVERNANCE_FIRST,TEMPORAL-1,"9aa58f48 TEMPORAL-1 completion: assembled from what existed, and the design-seat endpoint"
CW,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"f1c26591 Rulings DA, CY, CZ, CW, CX, DB and A1 Gate 2 applied to TEMPORAL-1"
CX,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"f1c26591 Rulings DA, CY, CZ, CW, CX, DB and A1 Gate 2 applied to TEMPORAL-1"
CY,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"f1c26591 Rulings DA, CY, CZ, CW, CX, DB and A1 Gate 2 applied to TEMPORAL-1"
CZ,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"f1c26591 Rulings DA, CY, CZ, CW, CX, DB and A1 Gate 2 applied to TEMPORAL-1"
DA,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"f1c26591 Rulings DA, CY, CZ, CW, CX, DB and A1 Gate 2 applied to TEMPORAL-1"
DB,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"f1c26591 Rulings DA, CY, CZ, CW, CX, DB and A1 Gate 2 applied to TEMPORAL-1"
DC,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"0fbfccee Rulings DD, DC, DE and DF: the wet-end prediction is falsified, and I-60 gains i"
DD,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"0fbfccee Rulings DD, DC, DE and DF: the wet-end prediction is falsified, and I-60 gains i"
DE,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"0fbfccee Rulings DD, DC, DE and DF: the wet-end prediction is falsified, and I-60 gains i"
DF,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"0fbfccee Rulings DD, DC, DE and DF: the wet-end prediction is falsified, and I-60 gains i"
DG,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"9374a96b Rulings DG, DH and DJ: the open-water question is closed, the two caveats separa"
DH,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"9374a96b Rulings DG, DH and DJ: the open-water question is closed, the two caveats separa"
DJ,2026-08-08,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"9374a96b Rulings DG, DH and DJ: the open-water question is closed, the two caveats separa"
DL,2026-08-09,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"548f15e6 Rulings DL, DM, DN: the tercile cut measured, the two census objects named, the "
DM,2026-08-09,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"548f15e6 Rulings DL, DM, DN: the tercile cut measured, the two census objects named, the "
DN,2026-08-09,COMMIT_SUBJECT,(commit subject only),REACTIVE,,"548f15e6 Rulings DL, DM, DN: the tercile cut measured, the two census objects named, the "
