candidate_id,statement,evidence,instance_count,mechanism,source_side
RETRO1-C01,A ruling is only usable by a later session if it can be quoted from a durable artefact.,"I-43; RETRO1_rulings_timeline.csv (106 identifiers, 1 with no dated evidence at all)",1,Sessions share no memory. An assertion whose source cannot be retrieved cannot be distinguished by the next session from one that was never issued.,interface
RETRO1-C02,"Rulings are issued during runs, not before them: the instruction side is not where a ruling first appears.","RETRO1_rulings_timeline.csv: 101 REACTIVE, 1 PRE_REGISTERED, 3 GOVERNANCE_FIRST, 1 UNRESOLVED of 106",101,"A spec's 'rulings in force' list restates rulings already issued elsewhere; no artefact exists in which a ruling is written before the run it governs, so every ruling enters the record as a correction.",interface
RETRO1-C03,A fact crossing the chat-to-disk boundary loses its provenance and arrives as an assertion.,"I-40, I-43, I-48, I-58; RETRO-1 section 2.1 (13 chat exports on disk, none of them the design-seat/CC dialogue, which has zero exports)",4,"The chat side is not version-controlled, so a receiving artefact has nothing to cite. The existing remedy - cite the number_id, never the value - covers numbers and not rulings, quoted documents or prior context.",interface
RETRO1-C04,A substring check matches the record of a correction as though it were the error.,"I-47 / Ruling AK; lint run 11 Aug 2026: 3 of 4 or_ignore hits are comments PROHIBITING INSERT OR IGNORE, and several magic_number hits are comments documenting the derivation",4,"The project writes corrections visibly - superseding headers, '(was X)' notes, retained superseded values - so any check matching a fragment finds the prohibited token inside the text that prohibits it. The convention and the failure mode are the same design choice.",tooling
RETRO1-C05,An advisory control is not a control.,RETRO1_gates_and_controls.csv: hash_order reports 127 violations and enforces 0; lint_baseline.json suppresses pre-T5 debt so the lint fails on NEW violations only,2,"A check that cannot fail the run changes no behaviour, so it is read exactly like a check that passes.",tooling
RETRO1-C06,A persisted verdict cannot notice that it has aged; only a live query can report absence.,I-42; TRACE-1 section 5: figure_asset.path_exists reads 1 on 7 rows eleven days after the files moved; raster_asset clean at 0 of 192,7,A stored boolean has no trigger to revisit itself. It can record presence at write time and has no mechanism to record a later absence.,tooling
RETRO1-C07,"Registration confers no test coverage, and nothing enforces the second step after the first.",TRACE-1 four-way split: 43 numbers have a producer and no test; T8 went from 14 drifted of 71 to 72 of 153 as the registry grew,43,"The registrar and the reproduction test are separate scripts with no link between them, so the recompute function does not grow when the registry does.",tooling
RETRO1-C08,A number can be computed in a session and registered without any producer being committed.,"I-29; TRACE-1: 21 s11_* rows where the string appears in no tracked file of any kind, and their decided_by cites an untracked draft; the spat1_* batch was in the same state for hours",21,"Nothing in the registration path requires a committed producer, so a value held only in a session's context can be written to the registry and the session can then end.",execution seat
RETRO1-C09,"A spec can cite a document that does not exist, and both seats will reason from the citation.","I-48; RETRO1_spec_inventory.csv: 36 of 113 specs carry at least one absent citation, 73 absent citations in total",36,"Citations are written from memory of the repository rather than checked against it, and nothing in the authoring path resolves them.",design seat
RETRO1-C10,The exit code is not the check; only querying the result is.,I-60 surfaces 1 and 2; the INVENTORY-1 staging check that errored inside a pipeline while the chain continued and the commit proceeded unverified,3,"A pipeline returns the status of its last stage, and a shell chain continues on it, so an upstream check that could not run is indistinguishable from one that passed.",tooling
RETRO1-C11,"Where a re-run's cause is not required by the report format, it goes unrecorded.",RETRO-1 section 3.4: 33 of 104 reports showing a re-run state no cause,33,"No section of the run-report convention requires stating what preceded a re-run, so the cause survives only when the author happens to narrate it.",interface
RETRO1-C12,Specs in this corpus range from 23 to 637 lines with no association to reactive-ruling count or re-run count established by this extraction.,RETRO1_spec_inventory.csv: median 149 lines; the association was not computed because the reactive-ruling keying is at task grain and most specs carry 0-3,113,NO_MECHANISM,design seat
RETRO1-C13,"Four recurring spec sections appear in a minority of specs: checks-on-checks 3, what-this-is-not 5, rulings-in-force 10, spine-anchor 10, of 113.",RETRO1_spec_inventory.csv section_hits column,113,"NO_MECHANISM - presence was measurable, but whether a run RESPONDED to a section was not, so 'decorative' is not established by this extraction. See the coverage note in the report.",design seat
RETRO1-C14,A gate's firing cannot be established from the corpus by text search.,"RETRO1_gates_and_controls.csv: 316 gates; a first proximity-free test marked 299 as having fired, which was a coincidence test; tightened to 500-character proximity it marks 265",316,"NO_MECHANISM - reports do not record gate outcomes in any consistent form, so neither number is evidence. Only the hand-verified firings in the report body are.",interface
RETRO1-C15,"Checking rather than complying catches design-seat errors, and the corpus records it working.","Ruling BE (my 'two different measurements' claim withdrawn on the design seat's challenge); TRACE-1 (spec said 142 rows, registry held 143 then 156); RETRO-1 (spec said chat exports may be absent - 13 were present, but of a different interface)",3,"Both seats write from partial and time-lagged views of a repository that several sessions are changing at once, so a stated premise is a claim about the past. Verifying it costs one query and is the only way the error surfaces before it propagates.",interface
