path,line,text,hectare_value,label_used,states_definition,supersession_marked,class,relevance,is_taskM_spec
CLAUDE.md,40,"- **Task H — all-pixel census (1,080,157 pixels, 11 strata): analytically complete and reconciled** (parquet ↔ `census_stratum` at diff = 0). Paper-trail defects (data is sound): **D1 RESOLVED** — spec v4 **is** committed and clean on `main` (review Gate A); **D2 FIXED** (21 Jul) — `pct_of_farm` now divides by the true farm (85,910.8 ha), with an explicit `pct_of_mapped` added (the 67,349.332 ha basis kept for the S12 ""66.44% of mapped"" trap); **D8 FIXED** — refugia restated on the native 30 m grid (~6,460 ha, not ~4,300); D3–D6 lower. None require re-running the census.","85,910",refugia,N,N,stale,incidental,N
CLAUDE.md,40,"- **Task H — all-pixel census (1,080,157 pixels, 11 strata): analytically complete and reconciled** (parquet ↔ `census_stratum` at diff = 0). Paper-trail defects (data is sound): **D1 RESOLVED** — spec v4 **is** committed and clean on `main` (review Gate A); **D2 FIXED** (21 Jul) — `pct_of_farm` now divides by the true farm (85,910.8 ha), with an explicit `pct_of_mapped` added (the 67,349.332 ha basis kept for the S12 ""66.44% of mapped"" trap); **D8 FIXED** — refugia restated on the native 30 m grid (~6,460 ha, not ~4,300); D3–D6 lower. None require re-running the census.","67,349",refugia,N,N,stale,incidental,N
CLAUDE.md,40,"- **Task H — all-pixel census (1,080,157 pixels, 11 strata): analytically complete and reconciled** (parquet ↔ `census_stratum` at diff = 0). Paper-trail defects (data is sound): **D1 RESOLVED** — spec v4 **is** committed and clean on `main` (review Gate A); **D2 FIXED** (21 Jul) — `pct_of_farm` now divides by the true farm (85,910.8 ha), with an explicit `pct_of_mapped` added (the 67,349.332 ha basis kept for the S12 ""66.44% of mapped"" trap); **D8 FIXED** — refugia restated on the native 30 m grid (~6,460 ha, not ~4,300); D3–D6 lower. None require re-running the census.","6,460",refugia,N,N,stale,floor_claim,N
CLAUDE.md,44,"- **Novel findings:** a vegetation floor (~97% dead at the median) with ~4,300 ha staying majority-green as refugia; community-structured lag response strengthening dry→wet. Headline caveat (confirmed): Landsat FC measures cover, not structure — it cannot separate land-use change from ecological condition. Adrian has pre-authorised a null as publishable.","4,300",majority-green; refugia; floor,N,N,stale,floor_claim,N
Gayini_Notes.txt,228,"Refugia claim doesn't reproduce — ""~4,300 ha majority-green"" computes to 40,936 ha at p05 ≥ 50; the companion ""97% dead at median"" is actually 0.9%. Likely a p05 ≥ 80 (4,179 ha) result that drifted in prose.","4,300",majority-green; refugia,N,N,stale,floor_claim,N
Gayini_Notes.txt,228,"Refugia claim doesn't reproduce — ""~4,300 ha majority-green"" computes to 40,936 ha at p05 ≥ 50; the companion ""97% dead at median"" is actually 0.9%. Likely a p05 ≥ 80 (4,179 ha) result that drifted in prose.","40,936",majority-green; refugia,N,N,stale,floor_claim,N
Gayini_Notes.txt,228,"Refugia claim doesn't reproduce — ""~4,300 ha majority-green"" computes to 40,936 ha at p05 ≥ 50; the companion ""97% dead at median"" is actually 0.9%. Likely a p05 ≥ 80 (4,179 ha) result that drifted in prose.","4,179",majority-green; refugia,N,N,stale,floor_claim,N
Output/diagnostics/ondisk_review_20260720/gate_A_orientation.md,40,"4. **Refugia (~4,300 ha): no producing script and no standalone table on disk** — confirmed the C-note gap; compute at Gate C from green_fraction_at_floor substrate.","4,300",refugia; green fraction,N,N,stale,floor_claim,N
Output/diagnostics/ondisk_review_20260720/gate_C_reproduction.md,34,"**FINDING (refugia — reproduces in the right ballpark, but surfaces a pixel-area-convention inconsistency).** The §9 headline ""~4,300 ha (≈5%)"" is in range but rests on a mixed-grid conversion: the paired-floor computation lives on the **3577 30 m** grid (n=959,833), yet §9 / the C-note convert the count with the **8058 24.97 m** census pixel. Converting 30 m-grid pixels with a 24.97 m pixel understates true ground area by (24.97/30)² = 0.693 — a 30.7% understatement. My faithful reproduction gives **4,474 ha at the §9 convention** (within ~4% of the stated 4,300 — residual is a >50 threshold ","4,300",refugia; floor,Y,N,definition_complete,floor_claim,N
Output/diagnostics/ondisk_review_20260720/gate_C_reproduction.md,34,"**FINDING (refugia — reproduces in the right ballpark, but surfaces a pixel-area-convention inconsistency).** The §9 headline ""~4,300 ha (≈5%)"" is in range but rests on a mixed-grid conversion: the paired-floor computation lives on the **3577 30 m** grid (n=959,833), yet §9 / the C-note convert the count with the **8058 24.97 m** census pixel. Converting 30 m-grid pixels with a 24.97 m pixel understates true ground area by (24.97/30)² = 0.693 — a 30.7% understatement. My faithful reproduction gives **4,474 ha at the §9 convention** (within ~4% of the stated 4,300 — residual is a >50 threshold ","4,474",refugia; floor,Y,N,definition_complete,floor_claim,N
